InputSize, NumThreads, SerialTime, ParallelTime
10, 2, 0.000020, 0.000209
10, 4, 0.000016, 0.000320
10, 8, 0.000016, 0.000494
10, 16, 0.000015, 0.004271
10, 20, 0.000021, 0.004892
100, 4, 0.001886, 0.002091
100, 8, 0.002165, 0.003099
100, 16, 0.002148, 0.033158
100, 20, 0.001968, 0.039029
500, 4, 0.171049, 0.071158
500, 8, 0.171383, 0.051905
500, 16, 0.170893, 0.135766
500, 20, 0.171544, 0.152157
1000, 4, 1.381400, 0.506595
1000, 8, 1.380659, 0.373005
1000, 16, 1.381603, 0.473246
1000, 20, 1.380201, 0.498555
2000, 4, 11.105766, 3.966355
2000, 8, 11.106906, 3.292720
2000, 16, 11.113985, 2.772832
2000, 20, 11.105376, 2.394236
3000, 20, 38.388047, 9.118977
3000, 4, 38.353513, 13.553154
3000, 8, 38.407247, 11.790662
3000, 16, 38.382376, 11.063661
3000, 20, 38.381383, 9.125611
4000, 4, 142.777322, 232.729920
4000, 8, 361.385996, 684.971717
4000, 16, 161.413768, 89.980858
4000, 20, 204.999538, 22.734835
